,geneID
0,ENSG00000000003
2,ENSG00000000419
3,ENSG00000000457
4,ENSG00000000460
6,ENSG00000000971
7,ENSG00000001036
8,ENSG00000001084
9,ENSG00000001167
10,ENSG00000001460
11,ENSG00000001461
12,ENSG00000001497
14,ENSG00000001617
15,ENSG00000001626
16,ENSG00000001629
17,ENSG00000001630
18,ENSG00000001631
19,ENSG00000002016
21,ENSG00000002330
22,ENSG00000002549
23,ENSG00000002586
26,ENSG00000002745
27,ENSG00000002746
28,ENSG00000002822
29,ENSG00000002834
30,ENSG00000002919
31,ENSG00000002933
32,ENSG00000003056
33,ENSG00000003096
36,ENSG00000003249
37,ENSG00000003393
39,ENSG00000003402
40,ENSG00000003436
41,ENSG00000003509
42,ENSG00000003756
43,ENSG00000003987
44,ENSG00000003989
45,ENSG00000004059
46,ENSG00000004139
47,ENSG00000004142
48,ENSG00000004399
49,ENSG00000004455
51,ENSG00000004478
52,ENSG00000004487
53,ENSG00000004534
54,ENSG00000004660
55,ENSG00000004700
56,ENSG00000004766
57,ENSG00000004776
58,ENSG00000004777
59,ENSG00000004779
62,ENSG00000004838
65,ENSG00000004864
66,ENSG00000004866
67,ENSG00000004897
70,ENSG00000004961
71,ENSG00000004975
72,ENSG00000005001
73,ENSG00000005007
74,ENSG00000005020
75,ENSG00000005022
76,ENSG00000005059
77,ENSG00000005073
78,ENSG00000005075
79,ENSG00000005100
82,ENSG00000005156
83,ENSG00000005175
85,ENSG00000005189
86,ENSG00000005194
87,ENSG00000005206
88,ENSG00000005238
89,ENSG00000005243
90,ENSG00000005249
91,ENSG00000005302
92,ENSG00000005339
93,ENSG00000005379
96,ENSG00000005436
97,ENSG00000005448
98,ENSG00000005469
100,ENSG00000005483
101,ENSG00000005486
103,ENSG00000005700
104,ENSG00000005801
105,ENSG00000005810
106,ENSG00000005812
108,ENSG00000005882
109,ENSG00000005884
110,ENSG00000005889
111,ENSG00000005893
114,ENSG00000006007
115,ENSG00000006015
116,ENSG00000006016
117,ENSG00000006025
118,ENSG00000006042
119,ENSG00000006047
121,ENSG00000006062
124,ENSG00000006118
125,ENSG00000006125
127,ENSG00000006194
129,ENSG00000006282
131,ENSG00000006327
134,ENSG00000006451
135,ENSG00000006453
136,ENSG00000006459
137,ENSG00000006468
138,ENSG00000006530
139,ENSG00000006534
141,ENSG00000006576
142,ENSG00000006606
143,ENSG00000006607
145,ENSG00000006625
146,ENSG00000006634
147,ENSG00000006638
148,ENSG00000006652
150,ENSG00000006695
151,ENSG00000006704
152,ENSG00000006712
153,ENSG00000006715
154,ENSG00000006740
155,ENSG00000006744
157,ENSG00000006756
158,ENSG00000006757
160,ENSG00000006831
161,ENSG00000006837
164,ENSG00000007047
166,ENSG00000007080
168,ENSG00000007168
171,ENSG00000007202
173,ENSG00000007237
174,ENSG00000007255
179,ENSG00000007341
182,ENSG00000007376
183,ENSG00000007384
184,ENSG00000007392
187,ENSG00000007520
188,ENSG00000007541
189,ENSG00000007545
190,ENSG00000007866
192,ENSG00000007923
194,ENSG00000007944
196,ENSG00000007968
197,ENSG00000008018
198,ENSG00000008056
199,ENSG00000008083
200,ENSG00000008086
202,ENSG00000008128
203,ENSG00000008130
207,ENSG00000008256
209,ENSG00000008282
210,ENSG00000008283
211,ENSG00000008294
212,ENSG00000008300
213,ENSG00000008311
215,ENSG00000008324
216,ENSG00000008382
217,ENSG00000008394
218,ENSG00000008405
220,ENSG00000008441
221,ENSG00000008513
223,ENSG00000008517
224,ENSG00000008710
226,ENSG00000008838
227,ENSG00000008853
228,ENSG00000008869
229,ENSG00000008952
230,ENSG00000008988
231,ENSG00000009307
232,ENSG00000009335
233,ENSG00000009413
234,ENSG00000009694
236,ENSG00000009724
238,ENSG00000009780
240,ENSG00000009830
241,ENSG00000009844
243,ENSG00000009954
244,ENSG00000010017
246,ENSG00000010072
247,ENSG00000010165
248,ENSG00000010219
249,ENSG00000010244
250,ENSG00000010256
251,ENSG00000010270
252,ENSG00000010278
254,ENSG00000010292
255,ENSG00000010295
257,ENSG00000010318
259,ENSG00000010322
261,ENSG00000010361
263,ENSG00000010404
264,ENSG00000010438
265,ENSG00000010539
266,ENSG00000010610
267,ENSG00000010626
269,ENSG00000010704
270,ENSG00000010803
271,ENSG00000010810
272,ENSG00000010818
274,ENSG00000011007
275,ENSG00000011009
276,ENSG00000011021
277,ENSG00000011028
278,ENSG00000011052
280,ENSG00000011105
281,ENSG00000011114
282,ENSG00000011132
283,ENSG00000011143
284,ENSG00000011198
286,ENSG00000011243
287,ENSG00000011258
288,ENSG00000011260
289,ENSG00000011275
290,ENSG00000011295
291,ENSG00000011304
292,ENSG00000011332
293,ENSG00000011347
294,ENSG00000011376
295,ENSG00000011405
296,ENSG00000011422
297,ENSG00000011426
298,ENSG00000011451
299,ENSG00000011454
300,ENSG00000011465
301,ENSG00000011478
302,ENSG00000011485
303,ENSG00000011523
304,ENSG00000011566
307,ENSG00000011638
309,ENSG00000012048
310,ENSG00000012061
312,ENSG00000012171
313,ENSG00000012174
314,ENSG00000012211
316,ENSG00000012232
318,ENSG00000012660
321,ENSG00000012822
322,ENSG00000012963
323,ENSG00000012983
324,ENSG00000013016
325,ENSG00000013275
326,ENSG00000013288
327,ENSG00000013293
328,ENSG00000013297
329,ENSG00000013306
330,ENSG00000013364
331,ENSG00000013374
332,ENSG00000013375
333,ENSG00000013392
334,ENSG00000013441
335,ENSG00000013503
336,ENSG00000013523
337,ENSG00000013561
338,ENSG00000013563
339,ENSG00000013573
340,ENSG00000013583
341,ENSG00000013588
342,ENSG00000013619
344,ENSG00000013810
345,ENSG00000014123
346,ENSG00000014138
347,ENSG00000014164
348,ENSG00000014216
349,ENSG00000014257
350,ENSG00000014641
351,ENSG00000014824
352,ENSG00000014914
353,ENSG00000014919
354,ENSG00000015133
355,ENSG00000015153
356,ENSG00000015171
359,ENSG00000015475
360,ENSG00000015479
361,ENSG00000015520
362,ENSG00000015532
363,ENSG00000015568
365,ENSG00000015676
371,ENSG00000016864
372,ENSG00000017260
374,ENSG00000017483
375,ENSG00000017797
376,ENSG00000018189
379,ENSG00000018408
380,ENSG00000018510
382,ENSG00000018610
384,ENSG00000018699
385,ENSG00000018869
387,ENSG00000019144
390,ENSG00000019485
392,ENSG00000019549
393,ENSG00000019582
394,ENSG00000019991
395,ENSG00000019995
396,ENSG00000020129
397,ENSG00000020181
399,ENSG00000020256
400,ENSG00000020426
401,ENSG00000020577
402,ENSG00000020633
403,ENSG00000020922
404,ENSG00000021300
405,ENSG00000021355
408,ENSG00000021574
409,ENSG00000021645
410,ENSG00000021762
411,ENSG00000021776
412,ENSG00000021826
414,ENSG00000022267
415,ENSG00000022277
418,ENSG00000022567
419,ENSG00000022840
420,ENSG00000022976
421,ENSG00000023041
422,ENSG00000023171
423,ENSG00000023191
424,ENSG00000023228
425,ENSG00000023287
426,ENSG00000023318
427,ENSG00000023330
428,ENSG00000023445
429,ENSG00000023516
430,ENSG00000023572
431,ENSG00000023608
432,ENSG00000023697
433,ENSG00000023734
434,ENSG00000023839
435,ENSG00000023892
436,ENSG00000023902
437,ENSG00000023909
438,ENSG00000024048
439,ENSG00000024422
440,ENSG00000024526
441,ENSG00000024862
443,ENSG00000025156
444,ENSG00000025293
445,ENSG00000025423
446,ENSG00000025434
447,ENSG00000025708
448,ENSG00000025770
449,ENSG00000025772
450,ENSG00000025796
451,ENSG00000025800
452,ENSG00000026025
453,ENSG00000026036
454,ENSG00000026103
455,ENSG00000026297
456,ENSG00000026508
457,ENSG00000026559
458,ENSG00000026652
460,ENSG00000026950
461,ENSG00000027001
464,ENSG00000027697
465,ENSG00000027847
466,ENSG00000027869
467,ENSG00000028116
468,ENSG00000028137
469,ENSG00000028203
470,ENSG00000028277
471,ENSG00000028310
472,ENSG00000028528
473,ENSG00000028839
474,ENSG00000029153
475,ENSG00000029363
476,ENSG00000029364
479,ENSG00000029639
480,ENSG00000029725
481,ENSG00000029993
482,ENSG00000030066
483,ENSG00000030110
485,ENSG00000030419
486,ENSG00000030582
487,ENSG00000031003
488,ENSG00000031081
489,ENSG00000031691
490,ENSG00000031698
491,ENSG00000031823
492,ENSG00000032219
493,ENSG00000032389
494,ENSG00000032444
495,ENSG00000032742
496,ENSG00000033011
497,ENSG00000033030
498,ENSG00000033050
499,ENSG00000033100
501,ENSG00000033170
502,ENSG00000033178
503,ENSG00000033327
504,ENSG00000033627
505,ENSG00000033800
506,ENSG00000033867
507,ENSG00000034053
508,ENSG00000034152
510,ENSG00000034510
511,ENSG00000034533
512,ENSG00000034677
513,ENSG00000034693
514,ENSG00000034713
516,ENSG00000035115
517,ENSG00000035141
518,ENSG00000035403
519,ENSG00000035499
521,ENSG00000035681
522,ENSG00000035687
524,ENSG00000035862
525,ENSG00000035928
526,ENSG00000036054
527,ENSG00000036257
531,ENSG00000036549
533,ENSG00000036672
535,ENSG00000037042
536,ENSG00000037241
538,ENSG00000037474
539,ENSG00000037637
540,ENSG00000037749
541,ENSG00000037757
542,ENSG00000037897
543,ENSG00000037965
544,ENSG00000038002
545,ENSG00000038210
546,ENSG00000038219
547,ENSG00000038274
549,ENSG00000038358
550,ENSG00000038382
551,ENSG00000038427
552,ENSG00000038532
554,ENSG00000039068
555,ENSG00000039123
556,ENSG00000039139
557,ENSG00000039319
558,ENSG00000039523
560,ENSG00000039560
562,ENSG00000039650
564,ENSG00000040199
565,ENSG00000040275
566,ENSG00000040341
567,ENSG00000040487
568,ENSG00000040531
569,ENSG00000040608
570,ENSG00000040633
572,ENSG00000040933
573,ENSG00000041353
574,ENSG00000041357
576,ENSG00000041802
577,ENSG00000041880
578,ENSG00000041982
579,ENSG00000041988
580,ENSG00000042062
581,ENSG00000042088
582,ENSG00000042286
584,ENSG00000042317
585,ENSG00000042429
586,ENSG00000042445
587,ENSG00000042493
588,ENSG00000042753
594,ENSG00000043093
595,ENSG00000043143
598,ENSG00000043514
601,ENSG00000044090
602,ENSG00000044115
603,ENSG00000044446
604,ENSG00000044459
606,ENSG00000044574
607,ENSG00000046604
608,ENSG00000046647
609,ENSG00000046651
613,ENSG00000047056
614,ENSG00000047188
615,ENSG00000047230
616,ENSG00000047249
617,ENSG00000047315
618,ENSG00000047346
620,ENSG00000047410
622,ENSG00000047578
623,ENSG00000047579
626,ENSG00000047621
627,ENSG00000047634
628,ENSG00000047644
629,ENSG00000047648
631,ENSG00000047849
632,ENSG00000047932
634,ENSG00000048028
635,ENSG00000048052
636,ENSG00000048140
637,ENSG00000048162
638,ENSG00000048342
639,ENSG00000048392
640,ENSG00000048405
642,ENSG00000048471
644,ENSG00000048544
646,ENSG00000048649
647,ENSG00000048707
648,ENSG00000048740
649,ENSG00000048828
650,ENSG00000048991
651,ENSG00000049089
652,ENSG00000049130
653,ENSG00000049167
654,ENSG00000049192
655,ENSG00000049239
656,ENSG00000049245
657,ENSG00000049246
658,ENSG00000049247
659,ENSG00000049249
661,ENSG00000049323
662,ENSG00000049449
663,ENSG00000049540
664,ENSG00000049541
665,ENSG00000049618
666,ENSG00000049656
667,ENSG00000049759
669,ENSG00000049769
670,ENSG00000049860
671,ENSG00000049883
673,ENSG00000050130
674,ENSG00000050165
676,ENSG00000050344
677,ENSG00000050393
678,ENSG00000050405
679,ENSG00000050426
680,ENSG00000050438
684,ENSG00000050748
686,ENSG00000050820
687,ENSG00000051009
688,ENSG00000051108
689,ENSG00000051128
690,ENSG00000051180
691,ENSG00000051341
692,ENSG00000051382
693,ENSG00000051523
694,ENSG00000051596
695,ENSG00000051620
696,ENSG00000051825
697,ENSG00000052126
699,ENSG00000052723
700,ENSG00000052749
701,ENSG00000052795
702,ENSG00000052802
703,ENSG00000052841
706,ENSG00000053254
708,ENSG00000053371
709,ENSG00000053372
710,ENSG00000053438
711,ENSG00000053501
714,ENSG00000053747
715,ENSG00000053770
716,ENSG00000053900
718,ENSG00000054116
719,ENSG00000054118
720,ENSG00000054148
723,ENSG00000054267
724,ENSG00000054277
725,ENSG00000054282
726,ENSG00000054356
727,ENSG00000054392
728,ENSG00000054523
729,ENSG00000054598
730,ENSG00000054611
731,ENSG00000054654
733,ENSG00000054793
736,ENSG00000054938
737,ENSG00000054965
738,ENSG00000054967
739,ENSG00000054983
740,ENSG00000055044
741,ENSG00000055070
742,ENSG00000055118
743,ENSG00000055130
744,ENSG00000055147
746,ENSG00000055208
747,ENSG00000055211
748,ENSG00000055332
749,ENSG00000055483
750,ENSG00000055609
753,ENSG00000055917
754,ENSG00000055950
